roundid,matchid,team_initials,coach_name,line_up,shirt_number,player_name,position,event,year,datetime,stage,stadium,city,home_team_name,home_team_goals,away_team_goals,away_team_name,win_conditions,attendance,half_time_home_goals,half_time_away_goals,referee,home_team_initials,away_team_initials,host_country,winner,runners_up,third,fourth,goalsscored,qualifiedteams,matchesplayed,tournament_attendance,total_goals,match_result,is_goal_scorer
201,1096,FRA,CAUDRON Raoul (FRA),Starting,Unknown,Alex THEPOT,GK,No Event,1930,1930-07-13 15:00:00,Group 1,Pocitos,Montevideo,France,4,1,Mexico,Normal,4444,3,0,LOMBARDI Domingo (URU),FRA,MEX,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,590549,5,Win,0
201,1096,MEX,LUQUE Juan (MEX),Starting,Unknown,Oscar BONFIGLIO,GK,No Event,1930,1930-07-13 15:00:00,Group 1,Pocitos,Montevideo,France,4,1,Mexico,Normal,4444,3,0,LOMBARDI Domingo (URU),FRA,MEX,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,590549,5,Loss,0
201,1096,FRA,CAUDRON Raoul (FRA),Starting,Unknown,Marcel LANGILLER,Unknown,G40',1930,1930-07-13 15:00:00,Group 1,Pocitos,Montevideo,France,4,1,Mexico,Normal,4444,3,0,LOMBARDI Domingo (URU),FRA,MEX,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,590549,5,Win,1
201,1096,MEX,LUQUE Juan (MEX),Starting,Unknown,Juan CARRENO,Unknown,G70',1930,1930-07-13 15:00:00,Group 1,Pocitos,Montevideo,France,4,1,Mexico,Normal,4444,3,0,LOMBARDI Domingo (URU),FRA,MEX,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,590549,5,Loss,1
201,1096,FRA,CAUDRON Raoul (FRA),Starting,Unknown,Ernest LIBERATI,Unknown,No Event,1930,1930-07-13 15:00:00,Group 1,Pocitos,Montevideo,France,4,1,Mexico,Normal,4444,3,0,LOMBARDI Domingo (URU),FRA,MEX,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,590549,5,Win,0
201,1096,MEX,LUQUE Juan (MEX),Starting,Unknown,Rafael GARZA,C,No Event,1930,1930-07-13 15:00:00,Group 1,Pocitos,Montevideo,France,4,1,Mexico,Normal,4444,3,0,LOMBARDI Domingo (URU),FRA,MEX,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,590549,5,Loss,0
201,1096,FRA,CAUDRON Raoul (FRA),Starting,Unknown,Andre MASCHINOT,Unknown,G43' G87',1930,1930-07-13 15:00:00,Group 1,Pocitos,Montevideo,France,4,1,Mexico,Normal,4444,3,0,LOMBARDI Domingo (URU),FRA,MEX,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,590549,5,Win,1
201,1096,MEX,LUQUE Juan (MEX),Starting,Unknown,Hilario LOPEZ,Unknown,No Event,1930,1930-07-13 15:00:00,Group 1,Pocitos,Montevideo,France,4,1,Mexico,Normal,4444,3,0,LOMBARDI Domingo (URU),FRA,MEX,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,590549,5,Loss,0
201,1096,FRA,CAUDRON Raoul (FRA),Starting,Unknown,Etienne MATTLER,Unknown,No Event,1930,1930-07-13 15:00:00,Group 1,Pocitos,Montevideo,France,4,1,Mexico,Normal,4444,3,0,LOMBARDI Domingo (URU),FRA,MEX,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,590549,5,Win,0
201,1096,MEX,LUQUE Juan (MEX),Starting,Unknown,Dionisio MEJIA,Unknown,No Event,1930,1930-07-13 15:00:00,Group 1,Pocitos,Montevideo,France,4,1,Mexico,Normal,4444,3,0,LOMBARDI Domingo (URU),FRA,MEX,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,590549,5,Loss,0
201,1096,FRA,CAUDRON Raoul (FRA),Starting,Unknown,Marcel PINEL,Unknown,No Event,1930,1930-07-13 15:00:00,Group 1,Pocitos,Montevideo,France,4,1,Mexico,Normal,4444,3,0,LOMBARDI Domingo (URU),FRA,MEX,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,590549,5,Win,0
201,1096,MEX,LUQUE Juan (MEX),Starting,Unknown,Felipe ROSAS,Unknown,No Event,1930,1930-07-13 15:00:00,Group 1,Pocitos,Montevideo,France,4,1,Mexico,Normal,4444,3,0,LOMBARDI Domingo (URU),FRA,MEX,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,590549,5,Loss,0
201,1096,FRA,CAUDRON Raoul (FRA),Starting,Unknown,Alex VILLAPLANE,C,No Event,1930,1930-07-13 15:00:00,Group 1,Pocitos,Montevideo,France,4,1,Mexico,Normal,4444,3,0,LOMBARDI Domingo (URU),FRA,MEX,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,590549,5,Win,0
201,1096,MEX,LUQUE Juan (MEX),Starting,Unknown,Manuel ROSAS,Unknown,No Event,1930,1930-07-13 15:00:00,Group 1,Pocitos,Montevideo,France,4,1,Mexico,Normal,4444,3,0,LOMBARDI Domingo (URU),FRA,MEX,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,590549,5,Loss,0
201,1096,FRA,CAUDRON Raoul (FRA),Starting,Unknown,Lucien LAURENT,Unknown,G19',1930,1930-07-13 15:00:00,Group 1,Pocitos,Montevideo,France,4,1,Mexico,Normal,4444,3,0,LOMBARDI Domingo (URU),FRA,MEX,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,590549,5,Win,1
201,1096,MEX,LUQUE Juan (MEX),Starting,Unknown,Jose RUIZ,Unknown,No Event,1930,1930-07-13 15:00:00,Group 1,Pocitos,Montevideo,France,4,1,Mexico,Normal,4444,3,0,LOMBARDI Domingo (URU),FRA,MEX,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,590549,5,Loss,0
201,1096,FRA,CAUDRON Raoul (FRA),Starting,Unknown,Marcel CAPELLE,Unknown,No Event,1930,1930-07-13 15:00:00,Group 1,Pocitos,Montevideo,France,4,1,Mexico,Normal,4444,3,0,LOMBARDI Domingo (URU),FRA,MEX,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,590549,5,Win,0
