Player_Team,Matches,Yellow_Cards,Red_Cards,Second_Yellow_Reds,Total_Effective_Reds,Players_Suspended,Goals_Scored,Yellow_Per_Match,Red_Per_Match
Argentina,77,113,8,1,9,9,121,1.47,0.117
Brazil,104,99,10,1,11,11,210,0.95,0.106
Netherlands,50,98,3,4,7,7,75,1.96,0.14
Italy,83,92,7,1,8,8,116,1.11,0.096
Germany,44,74,2,2,4,4,88,1.68,0.091
Mexico,53,72,4,2,6,6,48,1.36,0.113
Spain,59,64,1,0,1,1,76,1.08,0.017
Uruguay,51,62,8,1,9,9,76,1.22,0.176
South Korea,31,61,2,0,2,2,31,1.97,0.065
France,59,58,5,1,6,6,92,0.98,0.102
USA,33,52,2,2,4,4,32,1.58,0.121
England,62,51,3,0,3,3,69,0.82,0.048
Cameroon,23,48,7,1,8,8,16,2.09,0.348
Portugal,26,46,3,3,6,6,34,1.77,0.231
Chile,33,45,2,1,3,3,36,1.36,0.091
Poland,31,42,0,1,1,1,42,1.35,0.032
Sweden,46,42,1,2,3,3,70,0.91,0.065
Paraguay,27,41,1,1,2,2,27,1.52,0.074
West Germany,62,40,3,0,3,3,121,0.65,0.048
Bulgaria,26,39,0,3,3,3,18,1.5,0.115
Belgium,41,38,2,1,3,3,49,0.93,0.073
Croatia,16,37,2,2,4,4,19,2.31,0.25
Ghana,12,35,0,1,1,1,10,2.92,0.083
Costa Rica,15,32,0,1,1,1,17,2.13,0.067
Romania,21,32,1,0,1,1,28,1.52,0.048
Japan,17,31,0,0,0,0,14,1.82,0.0
Switzerland,33,31,1,0,1,1,45,0.94,0.03
Denmark,16,31,3,0,3,3,23,1.94,0.188
Tunisia,12,30,0,1,1,1,7,2.5,0.083
Yugoslavia,37,28,2,0,2,2,58,0.76,0.054
Nigeria,18,27,1,0,1,1,18,1.5,0.056
Australia,13,26,3,1,4,4,9,2.0,0.308
Ecuador,10,23,1,0,1,1,10,2.3,0.1
Austria,29,23,1,0,1,1,38,0.79,0.034
Russia,9,22,0,1,1,1,10,2.44,0.111
Saudi Arabia,13,22,1,0,1,1,6,1.69,0.077
Colombia,18,22,0,0,0,0,23,1.22,0.0
Cte d'Ivoire,9,21,0,1,1,1,11,2.33,0.111
South Africa,9,21,2,0,2,2,9,2.33,0.222
Greece,10,21,0,1,1,1,4,2.1,0.1
Slovenia,6,19,1,0,1,1,5,3.17,0.167
Turkey,10,19,1,1,2,2,20,1.9,0.2
Morocco,13,19,0,0,0,0,12,1.46,0.0
Soviet Union,31,18,2,0,2,2,50,0.58,0.065
Algeria,13,18,0,2,2,2,12,1.38,0.154
Czechoslovakia,30,18,4,0,4,4,37,0.6,0.133
Iran,12,18,0,0,0,0,7,1.5,0.0
Scotland,23,17,1,0,1,1,21,0.74,0.043
Ireland,13,16,0,0,0,0,9,1.23,0.0
Honduras,9,15,1,1,2,2,3,1.67,0.222
Senegal,5,14,1,0,1,1,6,2.8,0.2
Norway,8,13,0,0,0,0,5,1.62,0.0
Ukraine,5,12,1,0,1,1,4,2.4,0.2
Serbia and Montenegro,3,12,1,1,2,2,2,4.0,0.667
Angola,3,11,0,1,1,1,1,3.67,0.333
Slovakia,4,11,0,0,0,0,4,2.75,0.0
East Germany,6,10,0,0,0,0,4,1.67,0.0
Trinidad and Tobago,3,10,0,1,1,1,0,3.33,0.333
Togo,3,10,0,1,1,1,1,3.33,0.333
Serbia,3,10,0,1,1,1,2,3.33,0.333
Iraq,3,10,0,1,1,1,1,3.33,0.333
Northern Ireland,13,9,1,0,1,1,13,0.69,0.077
El Salvador,6,9,0,0,0,0,1,1.5,0.0
Peru,15,9,1,0,1,1,17,0.6,0.067
Bolivia,6,8,1,1,2,2,1,1.33,0.333
United Arab Emirates,3,7,0,1,1,1,2,2.33,0.333
Czech Republic,3,7,1,1,2,2,3,2.33,0.667
New Zealand,6,6,0,0,0,0,4,1.0,0.0
Hungary,32,6,5,0,5,5,81,0.19,0.156
Jamaica,3,6,0,1,1,1,3,2.0,0.333
China PR,3,5,1,0,1,1,0,1.67,0.333
Egypt,4,4,0,0,0,0,2,1.0,0.0
Israel,3,4,0,0,0,0,1,1.33,0.0
Bosnia and Herzegovina,3,3,0,0,0,0,4,1.0,0.0
Kuwait,3,3,0,0,0,0,2,1.0,0.0
Haiti,3,3,0,0,0,0,2,1.0,0.0
Canada,3,2,1,0,1,1,0,0.67,0.333
North Korea,7,2,0,0,0,0,6,0.29,0.0
Zaire,3,2,1,0,1,1,0,0.67,0.333
Cuba,3,0,0,0,0,0,5,0.0,0.0
Dutch East Indies,1,0,0,0,0,0,0,0.0,0.0
Wales,5,0,0,0,0,0,4,0.0,0.0
