Year,Host_Matches,Host_Wins,Host_Goals_For,Host_Goals_Against,Host_Avg_Attendance,Host_Win_Rate_Pct,NonHost_Win_Rate,Host_Advantage_Delta,Host_Country
1930,4,4,3.75,0.75,68992.5,100.0,100.0,0.0,Uruguay
1934,5,4,2.4,0.6,38600.0,80.0,100.0,-20.0,Italy
1938,1,1,3.0,1.0,30454.0,100.0,82.35,17.6,France
1950,5,4,4.2,0.8,111553.6,80.0,88.24,-8.2,Brazil
1954,2,2,3.0,1.0,36500.0,100.0,91.67,8.3,Switzerland
1958,5,4,2.0,0.4,36923.0,80.0,66.67,13.3,Sweden
1962,4,4,2.0,0.5,53757.0,100.0,82.14,17.9,Chile
1966,6,5,1.83,0.5,93331.5,83.3,84.62,-1.3,England
1970,3,2,1.67,0.0,106136.67,66.7,86.21,-19.5,Mexico
1978,6,5,2.5,0.5,54416.0,83.3,75.0,8.3,Argentina
1982,3,1,1.0,0.67,57520.67,33.3,51.02,-17.7,Spain
1986,2,1,1.5,0.5,114590.0,50.0,40.0,10.0,Mexico
1990,7,6,1.43,0.29,68291.29,85.7,46.67,39.0,Italy
1994,3,1,1.0,1.0,87054.33,33.3,51.02,-17.7,USA
1998,5,5,2.4,0.4,56380.0,100.0,38.98,61.0,France
2006,6,4,1.83,1.0,64333.33,66.7,48.28,18.4,Germany
2010,2,0,0.5,2.0,63574.0,0.0,37.1,-37.1,South Africa
2014,6,2,1.17,2.17,61112.67,33.3,44.83,-11.5,Brazil
