Player_Name,Team,Matches,Tournaments,Goals,Own_Goals,Yellow_Cards,Red_Cards,Times_Suspended,Times_Captain,Times_Starter,Times_Sub,Penalties_Scored,Missed_Penalties,Goals_Per_Match,Cards_Per_Match
RONALDO,Brazil,33,6,16,0,3,0,0,7,26,7,1,0,0.485,0.091
KLOSE,Germany,28,4,16,0,3,1,1,0,22,6,0,0,0.571,0.143
Just FONTAINE,France,6,1,13,0,0,0,0,0,6,0,0,0,2.167,0.0
Gerd MUELLER,West Germany,13,2,13,0,2,0,0,0,13,0,1,0,1.0,0.154
PEL (Edson Arantes do Nascimento),Brazil,21,4,12,0,0,0,0,0,14,7,0,0,0.571,0.0
Sandor KOCSIS,Hungary,5,1,11,0,0,0,0,0,5,0,0,0,2.2,0.0
Grzegorz LATO,Poland,20,3,10,0,0,0,0,0,20,0,0,0,0.5,0.0
MLLER,Germany,24,4,10,0,3,0,0,0,18,6,1,0,0.417,0.125
Helmut RAHN,West Germany,12,2,10,0,0,0,0,0,10,2,0,0,0.833,0.0
Uwe SEELER,West Germany,22,4,9,0,0,0,0,12,21,1,0,0,0.409,0.0
VAVA,Brazil,12,2,9,0,0,0,0,0,10,2,0,0,0.75,0.0
Karl-Heinz RUMMENIGGE,West Germany,20,3,9,0,0,0,0,10,14,6,0,0,0.45,0.0
JAIRZINHO,Brazil,16,3,9,0,2,0,0,0,16,0,0,0,0.562,0.125
Paolo ROSSI,Italy,18,3,9,0,1,0,0,0,14,4,0,0,0.5,0.056
Diego MARADONA,Argentina,23,4,8,0,4,1,1,16,21,2,0,0,0.348,0.217
Guillermo STABILE,Argentina,5,1,8,0,0,0,0,0,4,1,0,0,1.6,0.0
Rudi VOELLER,West Germany,19,3,8,0,3,1,1,0,12,7,0,0,0.421,0.211
Teofilo CUBILLAS,Peru,13,3,8,0,0,0,0,0,13,0,2,0,0.615,0.0
ADEMIR,Brazil,6,1,8,0,0,0,0,0,6,0,0,0,1.333,0.0
Gary LINEKER,England,12,2,8,0,0,0,0,0,12,0,2,0,0.667,0.0
LEONIDAS,Brazil,6,2,8,0,0,0,0,2,5,1,0,0,1.333,0.0
Oscar MIGUEZ,Uruguay,9,2,8,0,0,0,0,0,7,2,0,0,0.889,0.0
DAVID VILLA,Spain,14,3,7,0,0,0,0,0,11,3,2,1,0.5,0.0
