Stage_Std,Rest_Bucket,Count,Win_Rate,Avg_Goals
Final,1-2 days,4,50.0,2.75
Final,3-4 days,29,48.28,1.86
Final,5-6 days,3,0.0,0.0
Final,7+ days,2,50.0,1.5
Group Stage,1-2 days,49,46.94,1.9
Group Stage,3-4 days,501,32.73,1.27
Group Stage,5-6 days,278,42.81,1.47
Group Stage,7+ days,26,46.15,1.81
Quarter-finals,1-2 days,20,40.0,1.35
Quarter-finals,3-4 days,54,48.15,1.35
Quarter-finals,5-6 days,36,25.0,1.06
Quarter-finals,7+ days,13,38.46,2.23
Round of 16,1-2 days,4,25.0,1.5
Round of 16,3-4 days,79,45.57,1.33
Round of 16,5-6 days,38,42.11,1.21
Round of 16,7+ days,7,42.86,1.0
Semi-finals,1-2 days,6,33.33,1.17
Semi-finals,3-4 days,52,42.31,1.75
Semi-finals,5-6 days,8,62.5,2.88
Semi-finals,7+ days,2,0.0,1.0
Third Place,1-2 days,14,57.14,2.07
Third Place,3-4 days,22,45.45,1.91
