Team,Matches,Wins,Losses,Draws,Goals_For,Goals_Against,Tournaments,Win_Rate_Pct,Goal_Diff,Goals_Per_Match,Loss_Rate_Pct
Brazil,104,70,17,17,221,102,20,67.3,119,2.12,16.3
Italy,83,45,17,21,128,77,18,54.2,51,1.54,20.5
Argentina,77,42,21,14,131,84,16,54.5,47,1.7,27.3
England,62,26,16,20,79,56,14,41.9,23,1.27,25.8
West Germany,62,36,12,14,131,77,10,58.1,54,2.11,19.4
Spain,59,29,18,12,92,66,14,49.2,26,1.56,30.5
France,59,28,19,12,106,71,14,47.5,35,1.8,32.2
Mexico,53,14,25,14,57,92,15,26.4,-35,1.08,47.2
Uruguay,51,20,19,12,80,71,12,39.2,9,1.57,37.3
Netherlands,50,27,11,12,86,48,10,54.0,38,1.72,22.0
Sweden,46,16,17,13,74,69,11,34.8,5,1.61,37.0
Germany,44,30,8,6,93,44,8,68.2,49,2.11,18.2
Belgium,41,14,18,9,52,66,12,34.1,-14,1.27,43.9
Yugoslavia,37,16,13,8,60,46,9,43.2,14,1.62,35.1
USA,33,8,19,6,37,62,10,24.2,-25,1.12,57.6
Chile,33,11,15,7,40,49,9,33.3,-9,1.21,45.5
Switzerland,33,11,16,6,45,59,10,33.3,-14,1.36,48.5
Hungary,32,15,14,3,87,57,9,46.9,30,2.72,43.8
South Korea,31,5,17,9,31,67,9,16.1,-36,1.0,54.8
Poland,31,15,11,5,44,40,7,48.4,4,1.42,35.5
Soviet Union,31,15,10,6,53,34,7,48.4,19,1.71,32.3
Czechoslovakia,30,11,14,5,44,45,8,36.7,-1,1.47,46.7
Austria,29,12,13,4,43,47,7,41.4,-4,1.48,44.8
Paraguay,27,7,10,10,30,38,8,25.9,-8,1.11,37.0
Portugal,26,13,9,4,43,29,6,50.0,14,1.65,34.6
Bulgaria,26,3,15,8,22,53,7,11.5,-31,0.85,57.7
Cameroon,23,4,12,7,18,43,7,17.4,-25,0.78,52.2
Scotland,23,4,12,7,25,41,8,17.4,-16,1.09,52.2
Romania,21,8,8,5,30,32,7,38.1,-2,1.43,38.1
Nigeria,18,5,10,3,20,26,5,27.8,-6,1.11,55.6
Colombia,18,7,9,2,26,27,5,38.9,-1,1.44,50.0
Japan,17,4,9,4,14,22,5,23.5,-8,0.82,52.9
