Year,Matches,Total_Goals,Avg_Goals_Per_Match,Avg_Attendance,Total_Attendance,Home_Win_Count,Draw_Count,Away_Win_Count,ET_Count,Pens_Count,Home_Win_Rate_Pct,Goals_Per_Match,Yellow_Cards,Red_Cards,Suspensions,Yellow_Per_Match,Red_Per_Match,Qualified_Teams,Tournament_Attendance,Tournament_Winner
1930,18,70,3.888888888888889,32808.27777777778,590549,18,0,0,0,0,100.0,3.89,0,1,1,0.0,0.06,13,590549,Uruguay
1934,17,70,4.117647058823529,21352.941176470587,363000,16,1,0,2,0,94.1,4.12,0,1,1,0.0,0.06,16,363000,Italy
1938,18,84,4.666666666666667,20872.222222222223,375700,15,3,0,3,0,83.3,4.67,0,4,4,0.0,0.22,15,375700,Italy
1950,22,88,4.0,47511.181818181816,1045246,19,3,0,0,0,86.4,4.0,1,0,0,0.05,0.0,13,1045246,Uruguay
1954,26,140,5.384615384615385,29561.80769230769,768607,24,2,0,1,0,92.3,5.38,0,3,3,0.0,0.12,16,768607,West Germany
1958,35,126,3.6,23423.14285714286,819810,24,10,1,1,0,68.6,3.6,0,3,3,0.0,0.09,16,819810,Brazil
1962,32,89,2.78125,27911.625,893172,27,5,0,0,0,84.4,2.78,1,6,6,0.03,0.19,16,893172,Brazil
1966,32,89,2.78125,48847.96875,1563135,27,5,0,1,0,84.4,2.78,21,5,5,0.66,0.16,16,1563135,England
1970,32,95,2.96875,50124.21875,1603975,27,5,0,3,0,84.4,2.97,51,0,0,1.59,0.0,16,1603975,Brazil
1974,38,97,2.5526315789473686,49098.76315789474,1865753,15,10,13,0,0,39.5,2.55,87,5,5,2.29,0.13,16,1865753,West Germany
1978,38,102,2.6842105263157894,40678.71052631579,1545791,29,9,0,1,0,76.3,2.68,59,3,3,1.55,0.08,16,1545791,Argentina
1982,52,146,2.8076923076923075,40571.596153846156,2109723,26,17,9,0,1,50.0,2.81,99,5,5,1.9,0.1,24,2109723,Italy
1986,52,132,2.5384615384615383,46039.057692307695,2394031,21,14,17,2,3,40.4,2.54,139,8,8,2.67,0.15,24,2394031,Argentina
1990,52,115,2.2115384615384617,48388.75,2516215,27,12,13,4,4,51.9,2.21,171,16,16,3.29,0.31,24,2516215,West Germany
1994,52,141,2.7115384615384617,68991.11538461539,3587538,26,11,15,1,3,50.0,2.71,235,15,15,4.52,0.29,24,3587538,Brazil
1998,64,171,2.671875,43517.1875,2785100,28,19,17,1,3,43.8,2.67,258,22,22,4.03,0.34,32,2785100,France
2002,64,161,2.515625,42268.703125,2705197,27,16,21,0,2,42.2,2.52,272,17,17,4.25,0.27,32,2705197,Brazil
2006,64,147,2.296875,52491.234375,3359439,32,15,17,2,4,50.0,2.3,345,27,27,5.39,0.42,32,3359439,Italy
2010,64,145,2.265625,49669.625,3178856,23,16,25,2,2,35.9,2.27,261,17,17,4.08,0.27,32,3178856,Spain
2014,64,171,2.671875,53806.40625,3443610,28,13,23,4,4,43.8,2.67,187,10,10,2.92,0.16,32,3386810,Germany
