Year,MatchID,RoundID,Match_Date,Match_Time,Day_of_Week,Month,Stage_Raw,Stage_Std,Stage_Order,Days_Into_Tournament,Home_Team,Away_Team,Home_Initials,Away_Initials,Tournament_Host,Is_Host_Home,Is_Host_Away,Home_Goals,Away_Goals,HT_Home_Goals,HT_Away_Goals,SH_Home_Goals,SH_Away_Goals,Total_Goals,Goal_Diff,Match_Result,Win_Conditions,Attendance,Stadium,City,Referee,Rest_Days_Home,Rest_Days_Away
1930,1084,201,1930-07-22,14:45,Tuesday,7,Group 1,Group Stage,1,9,Argentina,Chile,ARG,CHI,Uruguay,False,False,3,1,2,1,1,0,4,2,Home Win,Normal,41459,Estadio Centenario,Montevideo,LANGENUS Jean (BEL),2.0,3.0
1930,1085,201,1930-07-15,16:00,Tuesday,7,Group 1,Group Stage,1,3,Argentina,France,ARG,FRA,Uruguay,False,False,1,0,0,0,1,0,1,1,Home Win,Normal,23409,Parque Central,Montevideo,REGO Gilberto (BRA),,2.0
1930,1086,201,1930-07-19,15:00,Saturday,7,Group 1,Group Stage,1,7,Argentina,Mexico,ARG,MEX,Uruguay,False,False,6,3,3,1,3,2,9,3,Home Win,Normal,42100,Estadio Centenario,Montevideo,SAUCEDO Ulises (BOL),3.0,3.0
1930,1089,201,1930-07-20,15:00,Sunday,7,Group 4,Group Stage,1,8,Paraguay,Belgium,PAR,BEL,Uruguay,False,False,1,0,1,0,0,0,1,1,Home Win,Normal,12000,Estadio Centenario,Montevideo,VALLARINO Ricardo (URU),3.0,7.0
1930,1090,201,1930-07-13,15:00,Sunday,7,Group 4,Group Stage,1,1,USA,Belgium,USA,BEL,Uruguay,False,False,3,0,2,0,1,0,3,3,Home Win,Normal,18346,Parque Central,Montevideo,MACIAS Jose (ARG),,
1930,1091,201,1930-07-20,13:00,Sunday,7,Group 2,Group Stage,1,7,Brazil,Bolivia,BRA,BOL,Uruguay,False,False,4,0,1,0,3,0,4,4,Home Win,Normal,25466,Estadio Centenario,Montevideo,BALWAY Thomas (FRA),6.0,3.0
1930,1092,201,1930-07-17,12:45,Thursday,7,Group 2,Group Stage,1,4,Yugoslavia,Bolivia,YUG,BOL,Uruguay,False,False,4,0,0,0,4,0,4,4,Home Win,Normal,18306,Parque Central,Montevideo,MATEUCCI Francisco (URU),3.0,
1930,1093,201,1930-07-14,12:45,Monday,7,Group 2,Group Stage,1,1,Yugoslavia,Brazil,YUG,BRA,Uruguay,False,False,2,1,2,0,0,1,3,1,Home Win,Normal,24059,Parque Central,Montevideo,TEJADA Anibal (URU),,
1930,1094,201,1930-07-19,12:50,Saturday,7,Group 1,Group Stage,1,6,Chile,France,CHI,FRA,Uruguay,False,False,1,0,0,0,1,0,1,1,Home Win,Normal,2000,Estadio Centenario,Montevideo,TEJADA Anibal (URU),2.0,3.0
1930,1095,201,1930-07-16,14:45,Wednesday,7,Group 1,Group Stage,1,3,Chile,Mexico,CHI,MEX,Uruguay,False,False,3,0,1,0,2,0,3,3,Home Win,Normal,9249,Parque Central,Montevideo,CRISTOPHE Henry (BEL),,2.0
